test_index,model,method_a,method_b,spearman,iou_top10
725,swin,lime,shap,0.0,0.15546
725,swin,gradcam,random,-0.00174,0.05421
784,swin,gradcam,lime,0.55457,0.20601
784,swin,gradcam,shap,0.0,0.0
784,swin,lime,shap,0.0,0.0
784,swin,gradcam,random,0.01672,0.05344
944,swin,gradcam,lime,0.61272,0.53896
944,swin,gradcam,shap,0.0,0.0
944,swin,lime,shap,0.0,0.0
944,swin,gradcam,random,0.0009,0.05112
1008,swin,gradcam,lime,-0.165,0.00773
1008,swin,gradcam,shap,0.0,0.0
1008,swin,lime,shap,0.0,0.09255
1008,swin,gradcam,random,0.00141,0.05057
1025,swin,gradcam,lime,0.27744,0.29171
1025,swin,gradcam,shap,0.0,0.0
1025,swin,lime,shap,0.0,0.01017
1025,swin,gradcam,random,0.00119,0.05123
1031,swin,gradcam,lime,0.07727,0.25034
1031,swin,gradcam,shap,0.0,0.0
1031,swin,lime,shap,0.0,0.0
1031,swin,gradcam,random,-0.00489,0.05278
1037,swin,gradcam,lime,0.18537,0.18172
1037,swin,gradcam,shap,0.0,0.0
1037,swin,lime,shap,0.0,0.01251
1037,swin,gradcam,random,0.00311,0.05554
1039,swin,gradcam,lime,0.53481,0.11862
1039,swin,gradcam,shap,0.0,0.0
1039,swin,lime,shap,0.0,0.0
1039,swin,gradcam,random,0.00552,0.053
1067,swin,gradcam,lime,0.05655,0.08581
1067,swin,gradcam,shap,0.0,0.0
1067,swin,lime,shap,0.0,0.03029
1067,swin,gradcam,random,-0.00594,0.04958
1069,swin,gradcam,lime,0.47023,0.22024
1069,swin,gradcam,shap,0.0,0.0
1069,swin,lime,shap,0.0,0.0
1069,swin,gradcam,random,-0.00741,0.04848
1070,swin,gradcam,lime,0.56076,0.24152
1070,swin,gradcam,shap,0.0,0.0
1070,swin,lime,shap,0.0,0.0
1070,swin,gradcam,random,0.00195,0.0561
1075,swin,gradcam,lime,0.44521,0.07327
1075,swin,gradcam,shap,0.0,0.0
1075,swin,lime,shap,0.0,0.09362
1075,swin,gradcam,random,0.00139,0.05388
1076,swin,gradcam,lime,0.51898,0.21565
1076,swin,gradcam,shap,0.0,0.0
1076,swin,lime,shap,0.0,0.00602
1076,swin,gradcam,random,-0.00429,0.05211
1077,swin,gradcam,lime,0.35481,0.28443
1077,swin,gradcam,shap,0.0,0.0
1077,swin,lime,shap,0.0,0.0
1077,swin,gradcam,random,-0.00626,0.04761
1157,swin,gradcam,lime,0.20038,0.0013
1157,swin,gradcam,shap,0.0,0.0
1157,swin,lime,shap,0.0,0.0
1157,swin,gradcam,random,0.00268,0.05123
1211,swin,gradcam,lime,0.38253,0.20182
1211,swin,gradcam,shap,0.0,0.0
1211,swin,lime,shap,0.0,0.0
1211,swin,gradcam,random,-0.00366,0.04947
1377,swin,gradcam,lime,-0.03228,0.08405
1377,swin,gradcam,shap,0.0,0.0
1377,swin,lime,shap,0.0,0.0
1377,swin,gradcam,random,-0.00489,0.05035
1399,swin,gradcam,lime,0.42062,0.18325
1399,swin,gradcam,shap,0.0,0.0
1399,swin,lime,shap,0.0,0.07753
1399,swin,gradcam,random,-0.0018,0.052
1412,swin,gradcam,lime,0.24979,0.2079
1412,swin,gradcam,shap,0.0,0.0
1412,swin,lime,shap,0.0,0.0
1412,swin,gradcam,random,0.00619,0.05112
1425,swin,gradcam,lime,-0.00908,0.0016
1425,swin,gradcam,shap,0.0,0.0
1425,swin,lime,shap,0.0,0.0
1425,swin,gradcam,random,0.00416,0.05355
1451,swin,gradcam,lime,0.13217,0.04271
1451,swin,gradcam,shap,0.0,0.0
1451,swin,lime,shap,0.0,0.07499
1451,swin,gradcam,random,0.00301,0.05178
1458,swin,gradcam,lime,0.15118,0.07189
1458,swin,gradcam,shap,0.0,0.0
1458,swin,lime,shap,0.0,0.01436
1458,swin,gradcam,random,-0.00061,0.05289
1468,swin,gradcam,lime,0.47863,0.21213
1468,swin,gradcam,shap,0.0,0.0
1468,swin,lime,shap,0.0,0.03029
1468,swin,gradcam,random,-0.00188,0.05112
1478,swin,gradcam,lime,-0.00767,0.00854
1478,swin,gradcam,shap,0.0,0.0
1478,swin,lime,shap,0.0,0.13455
1478,swin,gradcam,random,-0.00072,0.05024
1484,swin,gradcam,lime,0.58588,0.31456
1484,swin,gradcam,shap,0.0,0.0
1484,swin,lime,shap,0.0,0.0
1484,swin,gradcam,random,0.00392,0.05068
1489,swin,gradcam,lime,0.25933,0.05833
1489,swin,gradcam,shap,0.0,0.0
1489,swin,lime,shap,0.0,0.01395
1489,swin,gradcam,random,0.00414,0.05366
1515,swin,gradcam,lime,0.27558,0.26087
1515,swin,gradcam,shap,0.0,0.0
1515,swin,lime,shap,0.0,0.05388
1515,swin,gradcam,random,0.00255,0.05244
1565,swin,gradcam,lime,0.31758,0.02629
1565,swin,gradcam,shap,0.0,0.0
1565,swin,lime,shap,0.0,0.13932
1565,swin,gradcam,random,-0.00146,0.05488
