test_index,model,method,deletion_auc,insertion_auc,concentration,p_blurred,correct,stratum
1478,resnet50,shap,0.01033,0.53069,0.57312,0.00177,False,rare_class
1478,resnet50,random,0.0842,0.11185,0.19033,0.00177,False,rare_class
1484,resnet50,gradcam,0.33547,0.89352,0.24818,0.00053,True,class_coverage
1484,resnet50,lime,0.89727,0.89716,0.20458,0.00053,True,class_coverage
1484,resnet50,shap,0.17704,0.57389,0.58072,0.00053,True,class_coverage
1484,resnet50,random,0.25261,0.29296,0.19096,0.00053,True,class_coverage
1489,resnet50,gradcam,0.87674,0.96955,0.20634,0.01116,True,class_coverage
1489,resnet50,lime,0.75603,0.95012,0.23652,0.01116,True,class_coverage
1489,resnet50,shap,0.92862,0.90878,0.5796,0.01116,True,class_coverage
1489,resnet50,random,0.8777,0.92266,0.18995,0.01116,True,class_coverage
1515,resnet50,gradcam,0.30697,0.86136,0.30422,0.00494,True,class_coverage
1515,resnet50,lime,0.32416,0.97363,0.46082,0.00494,True,class_coverage
1515,resnet50,shap,0.3866,0.92482,0.57704,0.00494,True,class_coverage
1515,resnet50,random,0.75425,0.79209,0.1894,0.00494,True,class_coverage
1565,resnet50,gradcam,0.16104,0.62812,0.21981,0.03166,True,class_coverage
1565,resnet50,lime,0.23226,0.72348,0.21853,0.03166,True,class_coverage
1565,resnet50,shap,0.27615,0.59915,0.54609,0.03166,True,class_coverage
1565,resnet50,random,0.50406,0.41848,0.19017,0.03166,True,class_coverage
